2025-03-19_Test_coupon_2.wav => Predicted: 1, Prob: 3.8169, Ground Truth: N/A
2025-03-19_Test_coupon_2_augmented_1.wav => Predicted: 1, Prob: 8.7873, Ground Truth: 1
2025-03-19_Test_coupon_2_augmented_2.wav => Predicted: 0, Prob: 8.3679, Ground Truth: N/A
2025-03-19_Test_coupon_2_augmented_3.wav => Predicted: 1, Prob: 7.9623, Ground Truth: 1
2025-03-19_Test_coupon_2_augmented_4.wav => Predicted: 0, Prob: 8.7913, Ground Truth: 1
Cross_p6cycle_004.wav => Predicted: 0, Prob: 6.9837, Ground Truth: 0
Cross_p6cycle_006.wav => Predicted: 0, Prob: 5.6411, Ground Truth: 0
Cross_p6cycle_008.wav => Predicted: 0, Prob: 9.3119, Ground Truth: 0
Cross_p6cycle_010.wav => Predicted: 0, Prob: 9.6310, Ground Truth: 0
Cross_p6cycle_012.wav => Predicted: 0, Prob: 8.9036, Ground Truth: N/A
Cross_p6cycle_014.wav => Predicted: 0, Prob: 10.9763, Ground Truth: N/A
Cross_p6cycle_016.wav => Predicted: 0, Prob: 9.3985, Ground Truth: 0
Cross_p6cycle_018.wav => Predicted: 0, Prob: 8.5194, Ground Truth: N/A
Cross_p6cycle_020.wav => Predicted: 0, Prob: 9.3007, Ground Truth: 0
Cross_p6cycle_022.wav => Predicted: 0, Prob: 9.0187, Ground Truth: N/A
Cross_p6cycle_024.wav => Predicted: 0, Prob: 10.0923, Ground Truth: 0
Cross_p6cycle_026.wav => Predicted: 0, Prob: 9.0287, Ground Truth: 0
Cross_p6cycle_028.wav => Predicted: 0, Prob: 12.2518, Ground Truth: 0
Cross_p6cycle_030.wav => Predicted: 0, Prob: 7.4211, Ground Truth: N/A
Cross_p6cycle_032.wav => Predicted: 0, Prob: 7.7529, Ground Truth: 0
Cross_p6cycle_039.wav => Predicted: 0, Prob: 8.1814, Ground Truth: 0
Cross_p6cycle_041.wav => Predicted: 0, Prob: 9.3097, Ground Truth: 0
Cross_p6cycle_043.wav => Predicted: 0, Prob: 10.4311, Ground Truth: 0
Cross_p6cycle_045.wav => Predicted: 0, Prob: 8.2950, Ground Truth: 0
Cross_p6cycle_047.wav => Predicted: 0, Prob: 5.8582, Ground Truth: 0
Cross_p6cycle_049.wav => Predicted: 0, Prob: 8.4410, Ground Truth: 0
Cross_p6cycle_051.wav => Predicted: 0, Prob: 9.3536, Ground Truth: 0
Cross_p6cycle_053.wav => Predicted: 0, Prob: 8.7827, Ground Truth: 0
Cross_p6cycle_055.wav => Predicted: 0, Prob: 10.1178, Ground Truth: 0
Cross_p6cycle_057.wav => Predicted: 0, Prob: 9.8722, Ground Truth: 0
Cross_p6cycle_059.wav => Predicted: 0, Prob: 5.9425, Ground Truth: N/A
Cross_p6cycle_061.wav => Predicted: 0, Prob: 7.8208, Ground Truth: 0
Cross_p6cycle_063.wav => Predicted: 0, Prob: 8.7971, Ground Truth: 0
Cross_p6cycle_065.wav => Predicted: 0, Prob: 9.1332, Ground Truth: 0
